user_id,user_name,user_level,user_guanzhu_num,user_fans_num,user_beifangwen_num,user_huida_num,user_answer_list,user_tiwen_num,user_liuyan_num,user_liuyan_list
32214912,greattime,15,28,1185,1733,13,[],28,0,[]
32234201,o幸福小妞o,16,27,1182,1764,14,[],27,0,[]
32243801,yeah_,14,34,1187,1767,14,[],29,0,[]
32247893,想想就知道会有多幸福,17,31,1160,1891,16,[],29,0,[]
32264572,lisinmi,10,37,1192,1795,14,[],26,1,"[{'liuyan_user_id': '57805180', 'liuyan_time': '2018-05-09 11:41:03'}]"
32294524,zhangli,15,37,1189,1904,14,[],20,0,[]
32294595,xujin,11,38,1187,1767,10,[],19,0,[]
32305134,kawai,18,33,1188,1792,17,[],23,0,[]
32320252,chenlin,16,33,1187,1780,16,[],23,0,[]
32322904,fortuneever,16,30,1185,1756,12,[],24,0,[]
32324644,xiaoxiaomangguo,18,34,1187,1806,18,[],22,0,[]
32367516,ohpa_queen,18,39,1193,1756,12,[],20,0,[]
32403820,ouyangnola,11,36,1190,1848,10,[],20,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-10-23 16:01:04'}]"
32411162,computer,16,41,1182,1837,15,[],24,0,[]
32417184,maskhuaxia,17,39,1167,1792,13,[],25,0,[]
32417614,leoying,14,33,1180,1802,19,[],26,0,[]
32426508,我爱我家陶大花,15,44,1199,1885,18,[],24,0,[]
32445100,oorachel,19,38,1185,1751,11,[],20,0,[]
32455558,许长江和李佳,10,32,1174,1772,10,[],29,0,[]
32474012,一个人的旅行,17,58,98,1683,65,[],0,0,[]
32475917,lovelycaicai,20,41,1197,1764,14,[],20,0,[]
32479622,xuzhi,15,37,1188,1727,11,[],24,0,[]
32499283,shirley_taoyao,18,36,1151,1740,14,[],17,0,[]
32505812,c大美淘淘,16,40,1194,1837,14,[],27,0,[]
32564173,zutina,12,36,1197,1659,15,[],23,1,"[{'liuyan_user_id': '38741676', 'liuyan_time': '2017-01-31 07:19:12'}]"
32566616,srain,17,37,1191,1817,11,[],17,0,[]
32575920,kissneko,16,38,1192,1767,11,[],30,2,"[{'liuyan_user_id': '316526', 'liuyan_time': '2018-02-23 16:51:00'}, {'liuyan_user_id': '51232112', 'liuyan_time': '2018-01-19 19:04:31'}]"
32643024,陈子彦福仔,20,37,1182,1871,16,[],30,0,[]
32650385,alicia,18,40,1178,1850,15,[],74,0,[]
32651883,比萨pig,19,42,1172,1820,15,[],17,1,"[{'liuyan_user_id': '69440162', 'liuyan_time': '2016-10-06 02:24:06'}]"
32694741,kublaisu,15,41,1202,1841,9,[],22,0,[]
32736754,masakivivi,19,29,1197,1911,11,[],22,0,[]
32738303,zlaalala,18,35,1186,1738,10,[],18,0,[]
32783655,willtbing,16,32,1200,1762,13,[],23,0,[]
32786071,emily,17,39,1196,1807,15,[],24,0,[]
32787690,海风沙滩yang,12,38,1190,1815,20,[],21,0,[]
32827419,wolfwolfgod_,17,33,1188,1928,15,[],18,0,[]
32835831,morango,17,36,1191,1826,15,[],15,0,[]
32837645,daini,17,39,1193,1829,5,[],28,0,[]
32858700,sbhkie,9,34,1197,1760,11,[],21,0,[]
32886670,sleepingdogamu,16,36,1188,1817,19,[],20,0,[]
32890193,richen,13,36,1191,1911,9,[],26,0,[]
32890368,创造的美丽,20,41,1182,1746,13,[],28,0,[]
32890519,ruruzee,17,30,1179,1716,11,[],26,1,"[{'liuyan_user_id': '48883455', 'liuyan_time': '2015-10-23 15:32:50'}]"
32893306,fish琳琳,17,36,1192,1779,12,[],22,0,[]
32894385,wangsiyun,15,40,1190,1848,14,[],21,0,[]
33034464,紫色马扎儿,16,33,1190,1848,18,[],25,0,[]
33035400,viviankisses,18,34,1190,1936,15,[],19,0,[]
33071604,rexong,20,39,1183,1806,15,[],28,1,"[{'liuyan_user_id': '13056684', 'liuyan_time': '2016-11-14 00:03:08'}]"
33078466,gossip小猫,18,36,1168,1796,13,[],29,1,"[{'liuyan_user_id': '40023476', 'liuyan_time': '2017-10-29 11:16:35'}]"
33080170,许下的永远,15,41,1182,1889,14,[],30,0,[]
33085182,菟菟oai,17,45,1191,1794,15,[],15,1,"[{'liuyan_user_id': '76637644', 'liuyan_time': '2016-03-09 13:26:13'}]"
33087587,moonfox,16,32,1173,1979,16,[],26,0,[]
33139976,zhangfw,14,37,1186,2015,8,[],25,0,[]
33180851,kevincyrus,18,41,1196,1990,17,[],24,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2017-10-24 08:29:28'}]"
33215546,chouchou_may,15,36,1171,1836,13,[],27,0,[]
33251247,irene_snow,14,37,1201,1860,9,[],31,0,[]
33283450,我只在乎你,16,38,1212,2444,14,[],15,0,[]
33299674,whbjingdong,11,35,1189,1778,10,[],24,0,[]
33310689,一株四叶草,17,38,1160,1878,13,[],21,0,[]
33372717,草边吃窝不兔子,17,38,1198,1719,8,[],15,0,[]
33390603,red_cloud,18,36,1160,1798,8,[],23,1,"[{'liuyan_user_id': '81963554', 'liuyan_time': '2016-04-09 14:48:27'}]"
33395831,sdelover,16,32,1192,1812,10,[],30,0,[]
33404368,tonywanght,12,37,1195,2017,7,[],18,0,[]
33409445,becky,20,37,1201,1871,8,[],22,0,[]
33430192,yangyan,18,39,1192,1939,20,[],31,1,"[{'liuyan_user_id': '48070171', 'liuyan_time': '2019-03-14 07:38:20'}]"
